,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0409014746546745,0.0926888734102249
1,10,64,16,2,0.002,0.0419940464198589,0.0857375785708427
2,10,64,16,4,0.002,0.0421449840068817,0.0840286314487457
3,10,64,16,8,0.002,0.0438445806503295,0.0845239758491516
4,10,64,32,1,0.002,0.0401672944426536,0.0887944921851158
5,10,64,32,2,0.002,0.0424643494188785,0.0840199142694473
6,10,64,32,4,0.002,0.0427885875105857,0.0823871567845344
7,10,64,32,8,0.002,0.0418003015220165,0.0830843225121498
8,10,64,64,1,0.002,0.0415782816708087,0.0868215337395668
9,10,64,64,2,0.002,0.0407161116600036,0.0843884795904159
10,10,64,64,4,0.002,0.0417722351849079,0.0828820317983627
11,10,64,64,8,0.002,0.0425418652594089,0.0830706804990768
12,10,128,16,1,0.002,0.0416449904441833,0.0952928811311721
13,10,128,16,2,0.002,0.0408323891460895,0.0890761464834213
14,10,128,16,4,0.002,0.0435652285814285,0.0858515202999115
15,10,128,16,8,0.002,0.0435828790068626,0.0861846506595611
16,10,128,32,1,0.002,0.0411980375647544,0.0895877927541732
17,10,128,32,2,0.002,0.0424304008483886,0.0898787677288055
18,10,128,32,4,0.002,0.0438513532280921,0.0864680483937263
19,10,128,32,8,0.002,0.044238518923521,0.085873045027256
20,10,128,64,1,0.002,0.0424806624650955,0.0888489484786987
21,10,128,64,2,0.002,0.0406159795820713,0.0872141793370246
22,10,128,64,4,0.002,0.0444847382605075,0.0857649594545364
23,10,128,64,8,0.002,0.0415717512369155,0.0839621499180793
24,10,256,16,1,0.002,0.0304466243833303,0.122014008462429
25,10,256,16,2,0.002,0.0371000729501247,0.1061084568500518
26,10,256,16,4,0.002,0.036541998386383,0.1076108440756797
27,10,256,16,8,0.002,0.0379121415317058,0.1023529842495918
28,10,256,32,1,0.002,0.0367424935102462,0.104280024766922
29,10,256,32,2,0.002,0.037334319204092,0.1042327508330345
30,10,256,32,4,0.002,0.038577277213335,0.1037287339568138
31,10,256,32,8,0.002,0.0397366695106029,0.0924226120114326
32,10,256,64,1,0.002,0.0399871990084648,0.0972426682710647
33,10,256,64,2,0.002,0.039102666079998,0.1015615984797477
34,10,256,64,4,0.002,0.0443929396569728,0.0894157439470291
35,10,256,64,8,0.002,0.0423335097730159,0.0883784517645835
36,25,64,16,1,0.002,0.0434188321232795,0.0850981250405311
37,25,64,16,2,0.002,0.0446794852614402,0.0827060267329216
38,25,64,16,4,0.002,0.0436717122793197,0.0823094621300697
39,25,64,16,8,0.002,0.0439541190862655,0.0818177759647369
40,25,64,32,1,0.002,0.0449440404772758,0.0847878456115722
41,25,64,32,2,0.002,0.0443403124809265,0.0825541913509368
42,25,64,32,4,0.002,0.0443663485348224,0.0820879265666008
43,25,64,32,8,0.002,0.042795542627573,0.0826170668005943
44,25,64,64,1,0.002,0.0452518984675407,0.0831064879894256
45,25,64,64,2,0.002,0.0435254387557506,0.0833655297756195
46,25,64,64,4,0.002,0.0438924916088581,0.0824834704399108
47,25,64,64,8,0.002,0.0424336306750774,0.0824863836169242
48,25,128,16,1,0.002,0.0425976850092411,0.0868895724415779
