,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0410524122416973,0.0919742509722709
1,10,64,16,2,0.002,0.0409260429441928,0.0888602584600448
2,10,64,16,4,0.002,0.0416463203728199,0.0862087458372116
3,10,64,16,8,0.002,0.0422967374324798,0.0864008143544197
4,10,64,32,1,0.002,0.0410885959863662,0.0885022059082984
5,10,64,32,2,0.002,0.0416083261370658,0.0860372185707092
6,10,64,32,4,0.002,0.041059210896492,0.0875863134860992
7,10,64,32,8,0.002,0.0411650463938713,0.0865759775042533
8,10,64,64,1,0.002,0.0410168319940567,0.0890246257185936
9,10,64,64,2,0.002,0.0419486537575721,0.0857238247990608
10,10,64,64,4,0.002,0.0426259264349937,0.0857016667723655
11,10,64,64,8,0.002,0.0395705811679363,0.0862573310732841
12,10,128,16,1,0.002,0.037590742111206,0.1032461374998092
13,10,128,16,2,0.002,0.0405547246336936,0.1022439152002334
14,10,128,16,4,0.002,0.0389737375080585,0.093898631632328
15,10,128,16,8,0.002,0.0399521924555301,0.0898359715938568
16,10,128,32,1,0.002,0.0398359037935733,0.0975893959403038
17,10,128,32,2,0.002,0.0403459891676902,0.0972017720341682
18,10,128,32,4,0.002,0.0369541309773922,0.0918890684843063
19,10,128,32,8,0.002,0.0404698178172111,0.0909202098846435
20,10,128,64,1,0.002,0.039566695690155,0.0929139629006385
21,10,128,64,2,0.002,0.0423010289669036,0.0881133675575256
22,10,128,64,4,0.002,0.0388993695378303,0.091517761349678
23,10,128,64,8,0.002,0.03980303555727,0.089322805404663
24,10,256,16,1,0.002,0.0311850644648075,0.1178391724824905
25,10,256,16,2,0.002,0.0359278246760368,0.1076290011405944
26,10,256,16,4,0.002,0.0369615033268928,0.1115109845995903
27,10,256,16,8,0.002,0.0337973535060882,0.1264448016881942
28,10,256,32,1,0.002,0.0361533537507057,0.1090430170297622
29,10,256,32,2,0.002,0.0374763309955596,0.1044367775321006
30,10,256,32,4,0.002,0.0383993275463581,0.1025041490793228
31,10,256,32,8,0.002,0.0391054823994636,0.1037612035870552
32,10,256,64,1,0.002,0.0365058705210685,0.1076407432556152
33,10,256,64,2,0.002,0.0388010144233703,0.1022777035832405
34,10,256,64,4,0.002,0.0399195365607738,0.0982095077633857
35,10,256,64,8,0.002,0.0335296317934989,0.0995385497808456
36,25,64,16,1,0.002,0.0418445691466331,0.0873632878065109
37,25,64,16,2,0.002,0.0419091880321502,0.0859211310744285
