,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0415245667099952,0.0782304853200912
1,10,64,16,2,0.002,0.0414090193808078,0.0803263932466507
2,10,64,16,4,0.002,0.0401198491454124,0.0864972993731498
3,10,64,16,8,0.002,0.0392031855881214,0.088331289589405
4,10,64,32,1,0.002,0.041566964238882,0.0782090276479721
5,10,64,32,2,0.002,0.0416693948209285,0.0778426378965377
6,10,64,32,4,0.002,0.0404291972517967,0.0843090265989303
7,10,64,32,8,0.002,0.0444781221449375,0.0846263915300369
8,10,64,64,1,0.002,0.0415513403713703,0.0766734257340431
9,10,64,64,2,0.002,0.0423313826322555,0.0772210210561752
10,10,64,64,4,0.002,0.0465099737048149,0.0757895037531852
11,10,64,64,8,0.002,0.0482033193111419,0.0782179906964302
12,10,128,16,1,0.002,0.0413320139050483,0.0813704133033752
13,10,128,16,2,0.002,0.0415268912911415,0.0849856957793235
14,10,128,16,4,0.002,0.0404916256666183,0.0913511142134666
15,10,128,16,8,0.002,0.0378631427884101,0.1010001227259635
16,10,128,32,1,0.002,0.0417767688632011,0.0843269154429435
17,10,128,32,2,0.002,0.0412459857761859,0.0827758982777595
18,10,128,32,4,0.002,0.0410726591944694,0.088378332555294
19,10,128,32,8,0.002,0.0406279638409614,0.0978592485189437
20,10,128,64,1,0.002,0.0415028408169746,0.0810900032520294
21,10,128,64,2,0.002,0.0411356762051582,0.0815678387880325
22,10,128,64,4,0.002,0.0410489961504936,0.087663821876049
23,10,128,64,8,0.002,0.0346891395747661,0.0954796820878982
24,10,256,16,1,0.002,0.0351737439632415,0.0887564420700073
25,10,256,16,2,0.002,0.0375541299581527,0.0872901901602745
26,10,256,16,4,0.002,0.0431668125092983,0.0900051146745681
27,10,256,16,8,0.002,0.0254565309733152,0.1573713570833206
28,10,256,32,1,0.002,0.0441711694002151,0.085096389055252
29,10,256,32,2,0.002,0.0404941998422145,0.0863041207194328
30,10,256,32,4,0.002,0.0396973341703414,0.0891328006982803
31,10,256,32,8,0.002,0.0390638336539268,0.1084208413958549
32,10,256,64,1,0.002,0.0406113192439079,0.085076592862606
33,10,256,64,2,0.002,0.0402748398482799,0.0867277681827545
34,10,256,64,4,0.002,0.0389150418341159,0.0893357843160629
35,10,256,64,8,0.002,0.0365114212036132,0.1001892238855362
36,25,64,16,1,0.002,0.0425339713692665,0.0732646286487579
