,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.0392971783876419,0.09061299264431
1,1,10,64,16,2,0.002,0.0384819470345974,0.0935967788100242
2,2,10,64,16,4,0.002,0.0395486615598201,0.0910249277949333
3,3,10,64,16,8,0.002,0.0394000224769115,0.1012174934148788
4,4,10,64,32,1,0.002,0.0399275943636894,0.0903758034110069
5,5,10,64,32,2,0.002,0.0395825542509555,0.088737666606903
6,6,10,64,32,4,0.002,0.0415798798203468,0.0888377726078033
7,7,10,64,32,8,0.002,0.0410322621464729,0.0958474725484848
8,8,10,64,64,1,0.002,0.0401689819991588,0.0898050367832183
9,9,10,64,64,2,0.002,0.0414953120052814,0.0881672352552414
10,10,10,64,64,4,0.002,0.0413237735629081,0.0891829505562782
11,11,10,64,64,8,0.002,0.0400328747928142,0.0886441022157669
12,12,10,128,16,1,0.002,0.0369500070810318,0.1082637757062912
13,13,10,128,16,2,0.002,0.0362074971199035,0.113918662071228
14,14,10,128,16,4,0.002,0.0355875194072723,0.11952705681324
15,15,10,128,16,8,0.002,0.0343318246304988,0.1355202496051788
16,16,10,128,32,1,0.002,0.0392105504870414,0.0973343476653099
17,17,10,128,32,2,0.002,0.0389463938772678,0.1041165739297866
18,18,10,128,32,4,0.002,0.040571853518486,0.1001760140061378
19,19,10,128,32,8,0.002,0.0352061167359352,0.125490203499794
20,20,10,128,64,1,0.002,0.0403624214231967,0.0965370386838913
21,21,10,128,64,2,0.002,0.0393465980887413,0.0916790440678596
22,22,10,128,64,4,0.002,0.0395044088363647,0.0927437767386436
23,23,10,128,64,8,0.002,0.0342699252068996,0.124670423567295
24,24,10,256,16,1,0.002,0.0345128402113914,0.1242605671286583
25,25,10,256,16,2,0.002,0.0333378762006759,0.1207509636878967
26,26,10,256,16,4,0.002,0.0327028520405292,0.1283245980739593
27,27,10,256,16,8,0.002,0.0349917262792587,0.1400016844272613
28,28,10,256,32,1,0.002,0.033838503062725,0.1218660175800323
29,29,10,256,32,2,0.002,0.0342746898531913,0.121597871184349
30,30,10,256,32,4,0.002,0.032653160393238,0.1300735920667648
31,31,10,256,32,8,0.002,0.0286112688481807,0.1392868310213089
32,32,10,256,64,1,0.002,0.0329386852681636,0.1196945533156395
33,33,10,256,64,2,0.002,0.0343286842107772,0.1152434274554252
34,34,10,256,64,4,0.002,0.0328472293913364,0.1277333050966262
35,35,10,256,64,8,0.002,0.0325645394623279,0.135260984301567
36,36,25,64,16,1,0.002,0.0403401404619216,0.0892685204744339
37,37,25,64,16,2,0.002,0.0408442802727222,0.0890902131795883
38,38,25,64,16,4,0.002,0.0415106378495693,0.0864709317684173
39,39,25,64,16,8,0.002,0.0403335466980934,0.0857016593217849
40,40,25,64,32,1,0.002,0.0404833294451236,0.0880495905876159
41,41,25,64,32,2,0.002,0.0404432751238346,0.0878261849284172
42,42,25,64,32,4,0.002,0.0398887880146503,0.0877401903271675
43,43,25,64,32,8,0.002,0.0400103107094764,0.0894467607140541
44,44,25,64,64,1,0.002,0.0402225144207477,0.0894833654165268
45,45,25,64,64,2,0.002,0.0407053455710411,0.0861607640981674
46,46,25,64,64,4,0.002,0.0381272509694099,0.0881932079792022
47,47,25,64,64,8,0.002,0.0415842570364475,0.086648903787136
48,48,25,128,16,1,0.002,0.0401050150394439,0.0913458317518234
49,49,25,128,16,2,0.002,0.04044796153903,0.0883053690195083
50,50,25,128,16,4,0.002,0.0410188436508178,0.0887130871415138
51,51,25,128,16,8,0.002,0.0415816903114318,0.0918393954634666
52,52,25,128,32,1,0.002,0.0398115999996662,0.0903792902827262
53,53,25,128,32,2,0.002,0.0412838235497474,0.088268794119358
54,54,25,128,32,4,0.002,0.0416309051215648,0.0887806192040443
55,55,25,128,32,8,0.002,0.0417347736656665,0.0865990966558456
