,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.0414779484272003,0.0788465589284896
1,1,10,64,16,2,0.002,0.0415717028081417,0.0798602104187011
2,2,10,64,16,4,0.002,0.0404406376183033,0.0850613787770271
3,3,10,64,16,8,0.002,0.0389413572847843,0.0894649252295494
4,4,10,64,32,1,0.002,0.041698157787323,0.077751375734806
5,5,10,64,32,2,0.002,0.0415994152426719,0.0782311111688613
6,6,10,64,32,4,0.002,0.0406252779066562,0.0831519588828086
7,7,10,64,32,8,0.002,0.0434772670269012,0.0853813663125038
8,8,10,64,64,1,0.002,0.0414170734584331,0.0774818807840347
9,9,10,64,64,2,0.002,0.0423292331397533,0.0760128274559974
10,10,10,64,64,4,0.002,0.0449366420507431,0.0767354294657707
11,11,10,64,64,8,0.002,0.0483477637171745,0.0801079124212265
12,12,10,128,16,1,0.002,0.0411771163344383,0.0817648544907569
13,13,10,128,16,2,0.002,0.0413648188114166,0.0853702798485755
14,14,10,128,16,4,0.002,0.0403834581375122,0.0906872898340225
15,15,10,128,16,8,0.002,0.0379408076405525,0.1007602959871292
16,16,10,128,32,1,0.002,0.0416115783154964,0.0835867747664451
17,17,10,128,32,2,0.002,0.0412079915404319,0.083528496325016
18,18,10,128,32,4,0.002,0.0412516929209232,0.0889319106936454
19,19,10,128,32,8,0.002,0.0398790277540683,0.0965273082256317
20,20,10,128,64,1,0.002,0.0415218025445938,0.0818001553416252
21,21,10,128,64,2,0.002,0.0410167090594768,0.0818547531962394
22,22,10,128,64,4,0.002,0.0406698510050773,0.087284043431282
23,23,10,128,64,8,0.002,0.0332518741488456,0.0981055796146392
24,24,10,256,16,1,0.002,0.0335775725543499,0.0918846353888511
25,25,10,256,16,2,0.002,0.0430622957646846,0.0876657664775848
26,26,10,256,16,4,0.002,0.037050824612379,0.0915824100375175
27,27,10,256,16,8,0.002,0.02560949139297,0.1442083716392517
28,28,10,256,32,1,0.002,0.040241178125143,0.0838868990540504
29,29,10,256,32,2,0.002,0.0406454466283321,0.0862264931201934
30,30,10,256,32,4,0.002,0.0396288745105266,0.0930228307843208
31,31,10,256,32,8,0.002,0.0396681688725948,0.1074501052498817
32,32,10,256,64,1,0.002,0.0405752137303352,0.0853869765996933
33,33,10,256,64,2,0.002,0.0405174866318702,0.0860277190804481
34,34,10,256,64,4,0.002,0.0397589355707168,0.0914146527647972
35,35,10,256,64,8,0.002,0.0381218008697032,0.102336473762989
36,36,25,64,16,1,0.002,0.042928721755743,0.0721462666988372
37,37,25,64,16,2,0.002,0.0431736968457698,0.0705277547240257
38,38,25,64,16,4,0.002,0.0422150269150733,0.0700608938932418
39,39,25,64,16,8,0.002,0.0424865521490573,0.0686496719717979
40,40,25,64,32,1,0.002,0.0428762808442115,0.0702705457806587
41,41,25,64,32,2,0.002,0.0421802103519439,0.0696027353405952
42,42,25,64,32,4,0.002,0.0414401888847351,0.0697652995586395
43,43,25,64,32,8,0.002,0.0422312468290329,0.0693334341049194
44,44,25,64,64,1,0.002,0.0415324121713638,0.069765068590641
45,45,25,64,64,2,0.002,0.0412424318492412,0.0694753751158714
46,46,25,64,64,4,0.002,0.0412393808364868,0.0692409798502922
47,47,25,64,64,8,0.002,0.0428779609501361,0.0681648552417755
48,48,25,128,16,1,0.002,0.041556891053915,0.0761869102716445
49,49,25,128,16,2,0.002,0.0415899790823459,0.0772474855184555
50,50,25,128,16,4,0.002,0.0408029481768608,0.0838876962661743
51,51,25,128,16,8,0.002,0.0398894846439361,0.0841417014598846
52,52,25,128,32,1,0.002,0.041665431112051,0.0764514282345771
53,53,25,128,32,2,0.002,0.041599478572607,0.0781415402889251
54,54,25,128,32,4,0.002,0.0412333197891712,0.0813632979989051
55,55,25,128,32,8,0.002,0.0437107644975185,0.075047068297863
56,56,25,128,64,1,0.002,0.0414823666214942,0.0769530236721038
57,57,25,128,64,2,0.002,0.0429257601499557,0.0713712573051452
58,58,25,128,64,4,0.002,0.0401637740433216,0.0724215656518936
59,59,25,128,64,8,0.002,0.0414932966232299,0.0712009072303772
60,60,25,256,16,1,0.002,0.0411253422498703,0.080638937652111
61,61,25,256,16,2,0.002,0.0411323308944702,0.0816430523991584
62,62,25,256,16,4,0.002,0.0395295806229114,0.0892415940761566
63,63,25,256,16,8,0.002,0.0373153574764728,0.098135158419609
64,64,25,256,32,1,0.002,0.0408923774957656,0.0810727998614311
65,65,25,256,32,2,0.002,0.0407117046415805,0.0817133784294128
66,66,25,256,32,4,0.002,0.0391943305730819,0.0887442752718925
67,67,25,256,32,8,0.002,0.0363598503172397,0.0957891121506691
68,68,25,256,64,1,0.002,0.0402309857308864,0.0808469653129577
69,69,25,256,64,2,0.002,0.0408393889665603,0.0801863372325897
70,70,25,256,64,4,0.002,0.0390407145023345,0.0859184265136718
71,71,25,256,64,8,0.002,0.0336292535066604,0.1009930670261383
72,72,50,64,16,1,0.002,0.0421462655067443,0.0702963098883628
73,73,50,64,16,2,0.002,0.0423817560076713,0.0701037049293518
74,74,50,64,16,4,0.002,0.0409349724650383,0.0698884725570678
75,75,50,64,16,8,0.002,0.0411720089614391,0.069194883108139
76,76,50,64,32,1,0.002,0.0418766215443611,0.0694567859172821
77,77,50,64,32,2,0.002,0.0418295301496982,0.0697686746716499
78,78,50,64,32,4,0.002,0.0414122529327869,0.06939048320055
79,79,50,64,32,8,0.002,0.0418701097369194,0.0692211836576461
80,80,50,64,64,1,0.002,0.040869053453207,0.0696916654706001
81,81,50,64,64,2,0.002,0.0414176322519779,0.0698300376534462
82,82,50,64,64,4,0.002,0.0414763242006301,0.0695825070142746
83,83,50,64,64,8,0.002,0.0421901308000087,0.0691620633006095
84,84,50,128,16,1,0.002,0.0426749698817729,0.0734510868787765
85,85,50,128,16,2,0.002,0.0420023389160633,0.0721016675233841
86,86,50,128,16,4,0.002,0.0420405827462673,0.0712934434413909
87,87,50,128,16,8,0.002,0.0432317107915878,0.0718302056193351
88,88,50,128,32,1,0.002,0.0427362024784088,0.0726526454091072
89,89,50,128,32,2,0.002,0.0417775847017765,0.0708732083439827
90,90,50,128,32,4,0.002,0.0422566011548042,0.0707995891571044
91,91,50,128,32,8,0.002,0.0430736877024173,0.0722745582461357
92,92,50,128,64,1,0.002,0.0418153628706932,0.0715362057089805
93,93,50,128,64,2,0.002,0.0421447940170764,0.0703814476728439
94,94,50,128,64,4,0.002,0.0418609343469142,0.0703487023711204
95,95,50,128,64,8,0.002,0.0409015826880931,0.0701512321829795
96,96,50,256,16,1,0.002,0.0418101958930492,0.0773431733250618
97,97,50,256,16,2,0.002,0.0413438715040683,0.0805620029568672
98,98,50,256,16,4,0.002,0.0405043996870517,0.0853178203105926
99,99,50,256,16,8,0.002,0.039333276450634,0.0886899232864379
100,100,50,256,32,1,0.002,0.041397575289011,0.0780684202909469
101,101,50,256,32,2,0.002,0.0415715798735618,0.0773129239678382
102,102,50,256,32,4,0.002,0.0407622978091239,0.0813292041420936
103,103,50,256,32,8,0.002,0.0365952737629413,0.0879288464784622
104,104,50,256,64,1,0.002,0.0414748229086399,0.0761186406016349
105,105,50,256,64,2,0.002,0.0423037894070148,0.0732783377170562
106,106,50,256,64,4,0.002,0.041093036532402,0.0720901489257812
107,107,50,256,64,8,0.002,0.0445574447512626,0.0755070447921752
108,108,75,64,16,1,0.002,0.0427381470799446,0.0684138238430023
109,109,75,64,16,2,0.002,0.0427369363605976,0.0690335482358932
110,110,75,64,16,4,0.002,0.0435616299510002,0.0687362104654312
111,111,75,64,16,8,0.002,0.045217789709568,0.0707809776067733
112,112,75,64,32,1,0.002,0.0409806631505489,0.0695921331644058
113,113,75,64,32,2,0.002,0.0426416173577308,0.0683074221014976
114,114,75,64,32,4,0.002,0.0436820797622203,0.0696404874324798
115,115,75,64,32,8,0.002,0.0435397177934646,0.0709463059902191
116,116,75,64,64,1,0.002,0.041201364248991,0.0697874128818512
117,117,75,64,64,2,0.002,0.0426005534827709,0.0684469416737556
118,118,75,64,64,4,0.002,0.0434245280921459,0.0699720829725265
119,119,75,64,64,8,0.002,0.0448106452822685,0.0710972771048545
120,120,75,128,16,1,0.002,0.0426506623625755,0.0704662650823593
121,121,75,128,16,2,0.002,0.0424575246870517,0.0701973363757133
122,122,75,128,16,4,0.002,0.0437115989625453,0.0691780522465705
123,123,75,128,16,8,0.002,0.0447060689330101,0.0681401044130325
124,124,75,128,32,1,0.002,0.0435154736042022,0.0692591741681099
125,125,75,128,32,2,0.002,0.0431325957179069,0.0685335174202919
126,126,75,128,32,4,0.002,0.0429345369338989,0.0692007467150688
127,127,75,128,32,8,0.002,0.0436270833015441,0.0677378997206687
128,128,75,128,64,1,0.002,0.0429731048643589,0.068992368876934
129,129,75,128,64,2,0.002,0.0426455028355121,0.0683961883187294
130,130,75,128,64,4,0.002,0.0440195053815841,0.0671189352869987
131,131,75,128,64,8,0.002,0.0469726212322711,0.0683510079979896
132,132,75,256,16,1,0.002,0.0424412935972213,0.0765012726187706
133,133,75,256,16,2,0.002,0.0423317290842533,0.0790860503911972
134,134,75,256,16,4,0.002,0.041521281003952,0.0848525911569595
135,135,75,256,16,8,0.002,0.0383293814957141,0.0857360064983367
136,136,75,256,32,1,0.002,0.0425143465399742,0.0763176009058952
137,137,75,256,32,2,0.002,0.0423027276992797,0.0771741271018982
138,138,75,256,32,4,0.002,0.0405047014355659,0.0752443298697471
139,139,75,256,32,8,0.002,0.0406170710921287,0.0833626687526702
140,140,75,256,64,1,0.002,0.0423064120113849,0.0750662311911583
141,141,75,256,64,2,0.002,0.0416299663484096,0.0715142115950584
142,142,75,256,64,4,0.002,0.0420865677297115,0.0730252712965011
143,143,75,256,64,8,0.002,0.0464181415736675,0.070660300552845
144,144,100,64,16,1,0.002,0.0434384644031524,0.0679057314991951
145,145,100,64,16,2,0.002,0.0443475320935249,0.0680349916219711
146,146,100,64,16,4,0.002,0.0469488240778446,0.068768061697483
147,147,100,64,16,8,0.002,0.0470007583498954,0.0695726424455642
148,148,100,64,32,1,0.002,0.0441235229372978,0.06801188737154
149,149,100,64,32,2,0.002,0.0453310906887054,0.067612886428833
150,150,100,64,32,4,0.002,0.0468429997563362,0.0686734169721603
151,151,100,64,32,8,0.002,0.0446355156600475,0.0688541829586029
152,152,100,64,64,1,0.002,0.0448917932808399,0.0677514970302581
153,153,100,64,64,2,0.002,0.0467083118855953,0.0683096572756767
154,154,100,64,64,4,0.002,0.0447610430419445,0.0693685859441757
155,155,100,64,64,8,0.002,0.0441400296986103,0.0698184520006179
156,156,100,128,16,1,0.002,0.042117528617382,0.0701055005192756
157,157,100,128,16,2,0.002,0.0421154350042343,0.0701182782649993
158,158,100,128,16,4,0.002,0.0445110201835632,0.0697773098945617
159,159,100,128,16,8,0.002,0.0465191602706909,0.0692718029022216
160,160,100,128,32,1,0.002,0.0431245639920234,0.0691721960902214
161,161,100,128,32,2,0.002,0.0436531379818916,0.069286361336708
162,162,100,128,32,4,0.002,0.0451766401529312,0.0687556564807891
163,163,100,128,32,8,0.002,0.047191135585308,0.0694266110658645
164,164,100,128,64,1,0.002,0.0440435260534286,0.0691708475351333
165,165,100,128,64,2,0.002,0.0448710434138774,0.0683794617652893
166,166,100,128,64,4,0.002,0.046534601598978,0.06839469820261
167,167,100,128,64,8,0.002,0.047054998576641,0.0691104680299758
168,168,100,256,16,1,0.002,0.0416401922702789,0.076603777706623
169,169,100,256,16,2,0.002,0.0412906557321548,0.0770560875535011
170,170,100,256,16,4,0.002,0.0383807569742202,0.0813064649701118
171,171,100,256,16,8,0.002,0.04163234308362,0.0772149413824081
172,172,100,256,32,1,0.002,0.0417512506246566,0.0737719386816024
173,173,100,256,32,2,0.002,0.0398755520582199,0.0737246796488761
174,174,100,256,32,4,0.002,0.0396740771830081,0.0744564533233642
175,175,100,256,32,8,0.002,0.0423980057239532,0.0729624554514885
176,176,100,256,64,1,0.002,0.0398142263293266,0.0736851394176483
177,177,100,256,64,2,0.002,0.039145790040493,0.0733338817954063
178,178,100,256,64,4,0.002,0.0398653745651245,0.0729900747537612
179,179,100,256,64,8,0.002,0.0427903980016708,0.0743760243058204
0,0,10,64,16,1,0.001,0.041168462485075,0.0820363387465477
1,1,10,64,16,2,0.001,0.0412167944014072,0.082717515528202
2,2,10,64,16,4,0.001,0.0403858833014965,0.0877610817551612
3,3,10,64,16,8,0.001,0.039593119174242,0.0943273603916168
4,4,10,64,32,1,0.001,0.0413676612079143,0.0807377770543098
5,5,10,64,32,2,0.001,0.0413833819329738,0.0818442702293396
6,6,10,64,32,4,0.001,0.0404083803296089,0.0875341594219207
7,7,10,64,32,8,0.001,0.039036463946104,0.0926116108894348
8,8,10,64,64,1,0.001,0.0412872545421123,0.0809817761182785
9,9,10,64,64,2,0.001,0.0414354652166366,0.0810416862368583
10,10,10,64,64,4,0.001,0.0405171886086463,0.0857133194804191
11,11,10,64,64,8,0.001,0.0392871499061584,0.0903029516339302
12,12,10,128,16,1,0.001,0.0418065004050731,0.0832001194357872
13,13,10,128,16,2,0.001,0.0407790951430797,0.0864256098866462
14,14,10,128,16,4,0.001,0.040609236806631,0.0915097445249557
15,15,10,128,16,8,0.001,0.0374374687671661,0.0987407192587852
16,16,10,128,32,1,0.001,0.041092287749052,0.0838025510311126
17,17,10,128,32,2,0.001,0.0411434397101402,0.0863747671246528
18,18,10,128,32,4,0.001,0.0408987179398536,0.091470718383789
19,19,10,128,32,8,0.001,0.038852535188198,0.09908227622509
20,20,10,128,64,1,0.001,0.0415723733603954,0.0853800028562545
21,21,10,128,64,2,0.001,0.0412200540304183,0.0839932411909103
22,22,10,128,64,4,0.001,0.0408386513590812,0.088046446442604
23,23,10,128,64,8,0.001,0.041580069810152,0.0995363146066665
24,24,10,256,16,1,0.001,0.0251033771783113,0.159735232591629
25,25,10,256,16,2,0.001,0.0252461191266775,0.1475598067045211
26,26,10,256,16,4,0.001,0.032769076526165,0.0984503254294395
